Country Name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58
China,56700.0,57600.0,57600.0,57400.0,58700.0,59100.0,59500.0,60400.0,61000.0,62200.0,63400.0,63600.0,60800.0,65500.0,66200.0,66000.0,66300.0,66600.0,67000.0,67200.0,67100.0,67300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,581.0,581.0,581.0,581.0,581.0,848.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,2730.0,2730.0,2730.0,2730.0,2730.0,2730.0,2730.0,2730.0,2730.0,2730.0,2720.0,2720.0,2720.0,2720.0,2720.0,2720.0,2720.0,2720.0,2600.0,2600.0,2610.0,2610.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,4530.0,4510.0,4250.0,4180.0,4250.0,4380.0,4430.0,4540.0,4180.0,4070.0,4070.0,5080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,9440.0,9430.0,9430.0,9370.0,9370.0,9440.0,9500.0,9500.0,9510.0,9510.0,9490.0,9480.0,9490.0,9480.0,9470.0,9470.0,9470.0,9460.0,9460.0,9470.0,9460.0,9410.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,2350.0,2230.0,2260.0,2320.0,2050.0,2050.0,2270.0,2270.0,2210.0,2130.0,2130.0,2130.0,2130.0,2130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,,,,781.0,781.0,781.0,781.0,781.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,956.0,956.0,956.0,956.0,956.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,4940.0,4980.0,5010.0,5020.0,5060.0,5130.0,5150.0,5150.0,5150.0,5200.0,5060.0,5060.0,5200.0,5200.0,5200.0,,,,,5150.0,5150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,564.0,564.0,547.0,547.0,547.0,547.0,547.0,547.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,1020.0,966.0,966.0,968.0,968.0,967.0,967.0,967.0,959.0,959.0,962.0,816.0,816.0,797.0,787.0,792.0,792.0,,1020.0,1030.0,1030.0,1030.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,5860.0,5870.0,5870.0,5840.0,5850.0,5850.0,5850.0,5850.0,5740.0,5730.0,5910.0,5900.0,5920.0,5920.0,5920.0,5940.0,5940.0,5940.0,5940.0,5920.0,5930.0,5930.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,31900.0,31900.0,31800.0,29200.0,29300.0,29500.0,29400.0,29300.0,29300.0,28500.0,29600.0,30000.0,30000.0,33700.0,29900.0,30100.0,29400.0,30000.0,58.0,28900.0,29200.0,29200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,814.0,814.0,814.0,814.0,731.0,731.0,731.0,731.0,810.0,810.0,810.0,810.0,810.0,813.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1580.0,1580.0,1580.0,1550.0,1560.0,1570.0,1570.0,1560.0,1340.0,1340.0,1510.0,1510.0,1520.0,1570.0,1570.0,1260.0,1580.0,1450.0,1450.0,1490.0,1420.0,1290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,40800.0,38500.0,38200.0,37600.0,36600.0,36100.0,35900.0,36100.0,34700.0,34200.0,34100.0,34000.0,33900.0,33700.0,33700.0,33600.0,33500.0,33400.0,33400.0,33300.0,33400.0,33500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,953.0,953.0,953.0,953.0,953.0,953.0,953.0,977.0,,,953.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,2470.0,2500.0,2300.0,2300.0,2390.0,2380.0,2380.0,2410.0,2450.0,2580.0,2510.0,2550.0,2550.0,2550.0,2550.0,2550.0,2210.0,2270.0,2240.0,2240.0,2240.0,2240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,903.0,903.0,903.0,903.0,903.0,,,,885.0,322.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
