Country Name,region,Image URL,1996,1996.1,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020.1
YouTube,3,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Youtube_icon.svg/256px-Youtube_icon.svg.png,,,,,,,,,,,,,671692004.0,1127400000.0,1817800000.0,3508500000.0,6016200000.0,9340000000.0,12938900000.0,17175300000.0,21110900000.0,24575700000.0,26254300000.0,27480500000.0,27732000000.0,28032000000.0,28032000000.0
Facebook,4,https://facebookbrand.com/wp-content/uploads/2019/04/f_logo_RGB-Hex-Blue_512.png?w=256&h=256,,,,,,,,,,,,,,1142926428.0,2546600000.0,4181000000.0,5603900000.0,8377300000.0,13142400000.0,18512400000.0,22607600000.0,26318900000.0,27813700000.0,28020000000.0,23583000000.0,20583000000.0,20583000000.0
Yandex,5,https://upload.wikimedia.org/wikipedia/commons/8/85/Yandex_Browser_logo.png,,,,,,,,,,,,,,,1064400000.0,1401600000.0,1623200000.0,1774300000.0,1916400000.0,2090300000.0,2317800000.0,2601600000.0,2874700000.0,3032500000.0,2761000000.0,2561000000.0,2561000000.0
Baidu,6,"https://res-1.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_256,w_256,f_auto,q_auto:eco/v1475510524/fuz7l26kxyyq2pr5zbpx.png",,,,,,,,,,,,,,,,,1106593606.0,1347200000.0,1604600000.0,,,3077600000.0,4726600000.0,5871800000.0,6618000000.0,7618000000.0,7618000000.0
Live.com,7,https://dl1.cbsistatic.com/i/2016/09/16/e3e072c4-f670-4444-a0ea-9aed0269aa22/a6b828e257eb048fca64f48c95fa4928/imgingest-3206097294170090646.png,,,,,,,,,,,,,,,,,,1452059418.0,,1874300000.0,2299600000.0,2564800000.0,2660800000.0,2060800000.0,0.0,,
Twitter,8,https://aer.eu/wp-content/uploads/2017/06/twitter-logo-4.png,,,,,,,,,,,,,,,,,,,1728563501.0,2272800000.0,2811100000.0,3381900000.0,3793300000.0,4005100000.0,4198000000.0,4398000000.0,4398000000.0
Instagram,9,https://image.flaticon.com/icons/png/128/1409/1409946.png,,,,,,,,,,,,,,,,,,,,1939696370.0,2324200000.0,2659300000.0,2992100000.0,3164900000.0,4045000000.0,4545000000.0,4545000000.0
Pornhub,10,"https://res-4.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_256,w_256,f_auto,q_auto:eco/v1458758320/ajcppvmug2jcsljnzbmi.jpg",,,,,,,,,,,,,,,,,,,,,,,,2639848081.0,2039848081.0,0.0,
Xvideos,1,https://logospng.org/download/xvideos/logo-xvideos-256.png,,,,,,,,,,,,,,,,,,,,,,,,,3052000000.0,3252000000.0,3252000000.0
Webcrawler,2,https://image.flaticon.com/icons/png/128/531/531270.png,1169800.0,1169800.0,3263000.0,1000000.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Primenet,3,https://is4-ssl.mzstatic.com/image/thumb/Purple117/v4/a0/fd/e1/a0fde1e7-5760-7056-480d-a923718419bc/source/256x256bb.jpg,4022000.0,4022000.0,1000000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
Compuserve,4,https://media.licdn.com/dms/image/C560BAQEIe8XBfnotLg/company-logo_200_200/0?e=2159024400&v=beta&t=64qBTH1isr0D5j6IGQWOyYCVgyEH8gJVij9WfpzjWlc,3601000.0,3601000.0,2469000.0,1000000.0,0.0,,,,,,,,,,,,,,,,,,,,,,
